district,area,chamber,market,building,floor,building_floors,construction_year,standard,property,window,heating,url,rent,price
 Mokotów,79.8,3,wtórny,,3.0,4.0,2009.0,do zamieszkania,pełna własność,drewniane,,https://www.otodom.pl/oferta/3-pokojowe-z-balkonem-i-22-m2-tarasem-ID43eZL.html#4e9b9e9be8,850.0,890000.0
 Mokotów,37.96,2,pierwotny,,5.0,6.0,2020.0,,,,miejskie,https://www.otodom.pl/oferta/finski-designe-wybierz-swoje-m-ID43f3j.html#4e9b9e9be8,,501301.0
 Wola,36.0,2,pierwotny,apartamentowiec,,,,,,,,https://www.otodom.pl/oferta/swietna-inwestycja-odlicz-vat-23-sprawdz-ID43f2t.html#4e9b9e9be8,,408500.0
 Mokotów,86.95,4,pierwotny,,3.0,7.0,2019.0,,,,miejskie,https://www.otodom.pl/oferta/nowe-funkcjonalny-rozklad-zielen-ostatnie-ID43f3i.html#4e9b9e9be8,,725817.0
 Żoliborz,62.63,3,pierwotny,,7.0,10.0,2021.0,,,,miejskie,https://www.otodom.pl/oferta/swietne-miejsce-teraz-wybor-ID43f3h.html#4e9b9e9be8,,782762.0
 Wilanów,80.08,4,pierwotny,,2.0,2.0,2020.0,,,,,https://www.otodom.pl/oferta/ekskluzywnie-komfortowo-i-elegancko-ID42TyM.html#4e9b9e9be8,,695895.0
 Wawer,116.0,4,wtórny,,1.0,2.0,2014.0,do zamieszkania,pełna własność,plastikowe,,https://www.otodom.pl/oferta/mieszkanie-116-m-warszawa-ID43f37.html#4e9b9e9be8,,825000.0
 Wilanów,59.67,3,pierwotny,,0.0,2.0,2020.0,,,,,https://www.otodom.pl/oferta/elegancka-willowa-okolica-wybierz-ID42ZUW.html#4e9b9e9be8,,515549.0
 Wesoła,37.5,2,wtórny,blok,0.0,3.0,2002.0,do zamieszkania,,plastikowe,,https://www.otodom.pl/oferta/mieszkanie-37-50-m-warszawa-ID43f4d.html#4e9b9e9be8,350.0,300000.0
 Praga-Południe,75.0,3,pierwotny,,3.0,8.0,2021.0,,,,,https://www.otodom.pl/oferta/nowe-wysoka-jakosc-dobry-rozklad-ID43f3k.html#4e9b9e9be8,,700000.0
 Bemowo,152.85,5,pierwotny,,0.0,3.0,2021.0,,,,,https://www.otodom.pl/oferta/kameralne-osiedle-obok-metra-ID43f3l.html#4e9b9e9be8,,1106439.0
 Białołęka,55.0,3,wtórny,,3.0,3.0,2019.0,,pełna własność,,,https://www.otodom.pl/oferta/mieszkanie-warszawa-bialoleka-ID43f4S.html#4e9b9e9be8,,435000.0
 Wawer,68.0,4,wtórny,szeregowiec,2.0,2.0,2017.0,do zamieszkania,pełna własność,plastikowe,gazowe,https://www.otodom.pl/oferta/przytulne-68m2-z-wlasnym-garazem-i-ogrodkiem-ID43f4P.html#4e9b9e9be8,,649000.0
 Targówek,57.17,3,wtórny,blok,1.0,3.0,1976.0,,,plastikowe,miejskie,https://www.otodom.pl/oferta/3pok-idealne-dla-rodziny-do-zamieszkania-od-zaraz-ID43f3N.html#4e9b9e9be8,,479000.0
 Praga-Północ,69.92,3,pierwotny,,1.0,8.0,2021.0,,,,miejskie,https://www.otodom.pl/oferta/nowa-praga-obok-metro-parki-ID43f3m.html#4e9b9e9be8,,619231.0
 Ursus,71.86,3,pierwotny,blok,1.0,2.0,2020.0,do wykończenia,pełna własność,plastikowe,kotłownia,https://www.otodom.pl/oferta/3-pokoje-w-willowej-dzielnicy-ursusa-bez-prowizji-ID43f45.html#4e9b9e9be8,,567155.0
 Białołęka,32.0,1,pierwotny,apartamentowiec,1.0,3.0,2019.0,do wykończenia,pełna własność,plastikowe,gazowe,https://www.otodom.pl/oferta/kawalerka-na-bialolece-32-m2-duzy-balkon-nowe-ID43f8P.html#4e9b9e9be8,220.0,200000.0
 Mokotów,50.0,2,wtórny,blok,0.0,3.0,1961.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/ciche-2-8-wys-5-min-metro-raclawicka-ID43f8o.html#4e9b9e9be8,500.0,579000.0
 Mokotów,27.71,1,pierwotny,apartamentowiec,2.0,,,,pełna własność,,,https://www.otodom.pl/oferta/kawalerka-na-mokotowie-ID43f80.html#4e9b9e9be8,,367938.0
 Białołęka,40.3,2,pierwotny,blok,1.0,3.0,2020.0,do wykończenia,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/nowe-2020-bialoleka-2-pokoje-balkon-40-30m2-ID43f8K.html#4e9b9e9be8,8.0,348495.0
 Śródmieście,134.0,3,wtórny,kamienica,2.0,4.0,1924.0,do zamieszkania,spółdzielcze własnościowe,plastikowe,miejskie,https://www.otodom.pl/oferta/apartment-z-wyposazeniem-w-przedwojennej-kamienicy-ID43cJi.html#4e9b9e9be8,,2180000.0
 Białołęka,43.34,2,wtórny,blok,2.0,3.0,2010.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/dwa-pokoje-w-cichej-i-spokojnej-okolicy-ID43f7O.html#4e9b9e9be8,450.0,330000.0
 Śródmieście,107.0,3,wtórny,kamienica,1.0,5.0,1938.0,do zamieszkania,pełna własność,drewniane,miejskie,https://www.otodom.pl/oferta/ul-wiejska-frontowe-sloneczne-1938r-winda-garaz-ID43co7.html#4e9b9e9be8,,2590000.0
 Włochy,44.0,2,wtórny,blok,0.0,3.0,,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/mieszkanie-44m-ul-17-nastego-stycznia-obecnie-obro-ID439lh.html#4e9b9e9be8,,440000.0
 Mokotów,91.67,4,pierwotny,blok,3.0,3.0,2020.0,,pełna własność,drewniane,miejskie,https://www.otodom.pl/oferta/apartament-w-moduo-2x-duze-tarasy-oddanie-styczen-ID42WMQ.html#4e9b9e9be8,,970000.0
 Śródmieście,65.0,2,wtórny,apartamentowiec,4.0,5.0,2012.0,do zamieszkania,pełna własność,,miejskie,https://www.otodom.pl/oferta/2-pokoje-apartament-menolly-nowe-powisle-ID43fc3.html#4e9b9e9be8,,1490000.0
 Praga-Południe,87.0,3,wtórny,,3.0,5.0,2000.0,,pełna własność,plastikowe,inne,https://www.otodom.pl/oferta/na-sprzedaz-mieszkanie-3-pok-taras-garaz-ID424A5.html#4e9b9e9be8,635.0,774800.0
 Wola,74.0,3,wtórny,blok,5.0,,,,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/mieszkanie-74-m-warszawa-ID43esD.html#4e9b9e9be8,,716000.0
 Wilanów,53.8,2,wtórny,apartamentowiec,0.0,4.0,2008.0,do zamieszkania,pełna własność,,miejskie,https://www.otodom.pl/oferta/rewelacyjne-2-pokoje-z-duzym-tarasem-ul-sarmacka-ID43fbE.html#4e9b9e9be8,,602896.0
 Białołęka,41.2,2,wtórny,blok,5.0,5.0,2000.0,do remontu,pełna własność,drewniane,miejskie,https://www.otodom.pl/oferta/2-pokoje-tarchomin-swiatowida-49-a-bezposrednio-ID43fbA.html#4e9b9e9be8,370.0,352000.0
 Wilanów,75.8,3,wtórny,apartamentowiec,1.0,4.0,2008.0,do zamieszkania,pełna własność,,miejskie,https://www.otodom.pl/oferta/rewelacyjne-3-pokoje-taras-miasteczko-wilanow-ID43feD.html#4e9b9e9be8,,833690.0
 Żoliborz,70.0,3,wtórny,blok,1.0,5.0,2014.0,do zamieszkania,,,gazowe,https://www.otodom.pl/oferta/mieszkanie-3-pokoje-70-m-na-zoliborzu-ID43fhl.html#4e9b9e9be8,,880000.0
 Wola,42.24,2,pierwotny,apartamentowiec,11.0,27.0,2021.0,,pełna własność,,miejskie,https://www.otodom.pl/oferta/2-pokojowy-apartament-wyjatkowa-lokalizacja-wola-ID43ffb.html#4e9b9e9be8,,646272.0
 Śródmieście,59.29,2,wtórny,kamienica,1.0,3.0,1957.0,do zamieszkania,pełna własność,plastikowe,,https://www.otodom.pl/oferta/idealnie-ciche-przestronne-i-jasne-ID43fhR.html#4e9b9e9be8,650.0,848000.0
 Mokotów,98.0,4,wtórny,apartamentowiec,5.0,5.0,2019.0,do wykończenia,pełna własność,,miejskie,https://www.otodom.pl/oferta/penthouse-4-pok-taras-50-m2-nowy-mokotow-mordor-ID43ffn.html#4e9b9e9be8,,1325000.0
 Mokotów,53.1,3,wtórny,blok,4.0,4.0,1973.0,do remontu,spółdzielcze własnościowe,plastikowe,,https://www.otodom.pl/oferta/sloneczne-3-pokoje-z-balkonem-na-stegnach-ID43fhV.html#4e9b9e9be8,530.0,398000.0
 Mokotów,62.7,2,wtórny,kamienica,1.0,3.0,1938.0,do remontu,pełna własność,plastikowe,,https://www.otodom.pl/oferta/stary-mokotow2-pokoje-w-kamienicy-ID42KBo.html#4e9b9e9be8,,698000.0
 Wola,72.0,3,wtórny,blok,5.0,5.0,1992.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/3-pokoje-na-woli-ID43ffE.html#4e9b9e9be8,,816000.0
 Wola,38.0,2,wtórny,apartamentowiec,1.0,9.0,2018.0,,pełna własność,,miejskie,https://www.otodom.pl/oferta/2-pokoje-wysoki-standard-ID43ffC.html#4e9b9e9be8,650.0,647000.0
 Bielany,56.0,2,wtórny,blok,4.0,5.0,2008.0,do zamieszkania,pełna własność,plastikowe,,https://www.otodom.pl/oferta/idealnie-ciche-dwupokojowe-z-miejscem-garazowym-ID43fi4.html#4e9b9e9be8,420.0,495000.0
 Włochy,30.41,1,pierwotny,,1.0,4.0,2020.0,,pełna własność,,,https://www.otodom.pl/oferta/nowa-kawalerka-30-41-m2-blisko-parku-ID43f44.html#4e9b9e9be8,,364900.0
 Włochy,65.05,3,wtórny,blok,4.0,5.0,2016.0,do zamieszkania,pełna własność,plastikowe,,https://www.otodom.pl/oferta/3-pokojowe-do-wejscia-bez-nakladow-finansowych-ID43fi0.html#4e9b9e9be8,500.0,650000.0
 Żoliborz,149.86,3,wtórny,,6.0,9.0,2002.0,do zamieszkania,pełna własność,drewniane,,https://www.otodom.pl/oferta/mieszkanie-149-86-m-warszawa-ID43fi1.html#4e9b9e9be8,2.0,2900000.0
 Śródmieście,77.66,3,wtórny,kamienica,0.0,3.0,1939.0,,pełna własność,plastikowe,,https://www.otodom.pl/oferta/rozkladowe-3-pokoje-w-kamienicy-na-powislu-ID43fhZ.html#4e9b9e9be8,800.0,939000.0
 Śródmieście,48.77,2,wtórny,kamienica,3.0,3.0,1937.0,do zamieszkania,pełna własność,plastikowe,,https://www.otodom.pl/oferta/rozkladowe-ustawne-2-pokoje-z-oddzielna-kuchnia-ID43fhX.html#4e9b9e9be8,620.0,720000.0
 Praga-Południe,114.0,5,pierwotny,apartamentowiec,0.0,3.0,2019.0,,pełna własność,drewniane,miejskie,https://www.otodom.pl/oferta/mieszkanie-5pokojowe-114m2-ul-kiprow-26-goclawek-ID3SdNm.html#4e9b9e9be8,,971800.0
 Mokotów,96.0,3,wtórny,apartamentowiec,4.0,7.0,2013.0,do zamieszkania,pełna własność,,miejskie,https://www.otodom.pl/oferta/apartament-w-rezydencji-naruszewicza-ID43flT.html#91c6d8f63d,1.0,1680000.0
 Śródmieście,51.41,2,pierwotny,apartamentowiec,5.0,6.0,2019.0,do wykończenia,pełna własność,,miejskie,https://www.otodom.pl/oferta/mieszkanie-51-41-m-warszawa-ID42e3g.html#91c6d8f63d,690.0,694035.0
 Śródmieście,45.42,2,pierwotny,apartamentowiec,5.0,6.0,2019.0,do wykończenia,pełna własność,,miejskie,https://www.otodom.pl/oferta/powisle-doskonala-lokalizacja-deweloperskie-ID42e3f.html#91c6d8f63d,610.0,599544.0
 Włochy,52.1,3,wtórny,blok,0.0,3.0,2012.0,do zamieszkania,pełna własność,,,https://www.otodom.pl/oferta/klimatyczny-loft-we-wlochach-ID3UWoE.html#91c6d8f63d,574.0,555000.0
 Praga-Południe,67.91,3,wtórny,kamienica,3.0,3.0,,do zamieszkania,pełna własność,,elektryczne,https://www.otodom.pl/oferta/mieszkanie-z-poddaszem-do-aranzacji-ID42E85.html#91c6d8f63d,,559000.0
 Śródmieście,45.3,2,pierwotny,apartamentowiec,5.0,6.0,2019.0,do wykończenia,pełna własność,,miejskie,https://www.otodom.pl/oferta/powisle-stan-deweloperski-do-wlasnej-aranzancji-ID42e3j.html#91c6d8f63d,610.0,620610.0
 Śródmieście,118.89,3,wtórny,apartamentowiec,6.0,6.0,2010.0,do zamieszkania,pełna własność,,miejskie,https://www.otodom.pl/oferta/apartament-z-tarasem-na-powislu-menolly-ID414zx.html#91c6d8f63d,1.0,2960000.0
 Śródmieście,63.66,3,wtórny,kamienica,5.0,7.0,1914.0,do zamieszkania,pełna własność,drewniane,miejskie,https://www.otodom.pl/oferta/mieszkanie-63-66-m-warszawa-ID43fmt.html#91c6d8f63d,540.0,1270000.0
 Ursus,68.59,3,pierwotny,blok,0.0,3.0,2019.0,do wykończenia,pełna własność,,miejskie,https://www.otodom.pl/oferta/ryzowa-park-zakup-bez-pcc-ID43ahj.html#91c6d8f63d,750.0,552149.5
 Bielany,330.0,6,pierwotny,apartamentowiec,1.0,2.0,2019.0,do wykończenia,pełna własność,drewniane,miejskie,https://www.otodom.pl/oferta/penthousesalon5mwysokoscimetrotarasnadachu-ID43bia.html#91c6d8f63d,,6500000.0
 Ursus,68.59,3,pierwotny,blok,0.0,3.0,2019.0,do wykończenia,pełna własność,,miejskie,https://www.otodom.pl/oferta/ryzowa-park-bezposrednio-od-dewelopera-ID43ajk.html#91c6d8f63d,750.0,552149.5
 Ursus,73.16,3,pierwotny,blok,0.0,3.0,2019.0,do wykończenia,pełna własność,,miejskie,https://www.otodom.pl/oferta/ryzowa-park-zakup-bez-pcc-bez-prowizji-ID43ak7.html#91c6d8f63d,750.0,588938.0
 Ochota,77.7,3,wtórny,apartamentowiec,4.0,9.0,2002.0,do remontu,pełna własność,,miejskie,https://www.otodom.pl/oferta/stara-ochota-al-jerozolimskie-3-pokoje-2002-r-ID40HNE.html#91c6d8f63d,525.0,799000.0
 Mokotów,31.0,2,wtórny,apartamentowiec,5.0,6.0,2018.0,,pełna własność,,miejskie,https://www.otodom.pl/oferta/mieszkanie-2-pokoje-31-m-mokotow-ID43fnz.html#91c6d8f63d,,510000.0
 Bemowo,42.79,1,wtórny,blok,2.0,5.0,2009.0,,,,,https://www.otodom.pl/oferta/mieszkanie-42-79-m-warszawa-ID43fnK.html#91c6d8f63d,,450000.0
 Białołęka,63.6,3,wtórny,blok,6.0,8.0,1983.0,,,,,https://www.otodom.pl/oferta/mieszkanie-63-60-m-warszawa-ID43fnL.html#91c6d8f63d,,460000.0
 Ursus,68.0,3,pierwotny,blok,1.0,2.0,2020.0,,pełna własność,,inne,https://www.otodom.pl/oferta/ursus-3-pokoje-ID43foT.html#91c6d8f63d,,513706.0
 Białołęka,90.0,4,pierwotny,apartamentowiec,2.0,5.0,2019.0,do wykończenia,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/nowa-inwestycja-modlinska-90-m2-4-pokoje-hit-ID43fbS.html#91c6d8f63d,700.0,658000.0
 Śródmieście,20.0,1,pierwotny,,,,,,,,,https://www.otodom.pl/oferta/mini-apartament-idealny-na-inwestycje-ID43foz.html#91c6d8f63d,,220000.0
 Mokotów,75.0,3,pierwotny,apartamentowiec,1.0,5.0,2020.0,do wykończenia,pełna własność,drewniane,kotłownia,https://www.otodom.pl/oferta/kameralny-apartamentowiec-na-sadybie-duza-loggia-ID438Sm.html#91c6d8f63d,,835000.0
 Białołęka,42.0,2,pierwotny,apartamentowiec,0.0,3.0,2019.0,do wykończenia,pełna własność,plastikowe,gazowe,https://www.otodom.pl/oferta/42m2-dwa-pokoje-z-duzym-ogrodem-na-bialolece-tanio-ID43f92.html#91c6d8f63d,300.0,255000.0
 Mokotów,93.6,3,wtórny,apartamentowiec,3.0,12.0,2002.0,do zamieszkania,pełna własność,,miejskie,https://www.otodom.pl/oferta/gotowy-apartament-w-krolewski-trakt-mokotow-ID424q5.html#91c6d8f63d,940.0,899000.0
 Wola,37.31,2,wtórny,blok,8.0,8.0,1957.0,do zamieszkania,pełna własność,,miejskie,https://www.otodom.pl/oferta/gotowe-do-zamieszkania-z-panorama-miasta-ID41GBX.html#91c6d8f63d,618.0,530000.0
 Białołęka,43.34,2,wtórny,blok,2.0,3.0,2010.0,do zamieszkania,pełna własność,,,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-bialoleka-osiedle-lewandow-1-ID43fp7.html#91c6d8f63d,450.0,330000.0
 Wilanów,47.39,2,pierwotny,apartamentowiec,3.0,4.0,2020.0,do wykończenia,pełna własność,drewniane,,https://www.otodom.pl/oferta/2-pokoje-47m2-wilanow-maj-2020-bezposrednio-ID3ZJuU.html#91c6d8f63d,,485000.0
 Włochy,75.08,3,pierwotny,blok,1.0,2.0,2018.0,do wykończenia,pełna własność,,,https://www.otodom.pl/oferta/wlochy-mieszkanie-idealne-pod-najem-ID3YWv8.html#91c6d8f63d,,692613.0
 Ochota,48.31,2,wtórny,apartamentowiec,2.0,3.0,2009.0,do zamieszkania,pełna własność,,,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-na-ochocie-ul-moldawska-ID43fqv.html#91c6d8f63d,390.0,585000.0
 Mokotów,183.0,4,wtórny,apartamentowiec,0.0,4.0,2001.0,,,,,https://www.otodom.pl/oferta/apartament-na-parterze-z-dwoma-ogrodami-ID3S0YY.html#91c6d8f63d,,1960000.0
 Żoliborz,37.5,2,wtórny,blok,0.0,10.0,1969.0,,spółdzielcze własnościowe,plastikowe,miejskie,https://www.otodom.pl/oferta/mieszkanie-37-50-m-warszawa-ID43fpR.html#91c6d8f63d,400.0,375000.0
 Żoliborz,33.44,1,pierwotny,blok,6.0,8.0,2019.0,do wykończenia,pełna własność,,miejskie,https://www.otodom.pl/oferta/twoj-zoliborz-przy-parku-sady-zoliborskie-ID41Git.html#91c6d8f63d,,377872.0
 Mokotów,55.25,2,wtórny,apartamentowiec,1.0,4.0,2009.0,do zamieszkania,pełna własność,,miejskie,https://www.otodom.pl/oferta/elegancki-apartament-do-wprowadzenia-ID43fqj.html#91c6d8f63d,,590000.0
 mazowieckie,34.13,2,wtórny,apartamentowiec,3.0,8.0,2020.0,,pełna własność,,miejskie,https://www.otodom.pl/oferta/mieszkanie-2-pokoje-odbiory-luty-2020-ID42Yt7.html#91c6d8f63d,,368604.0
 Ochota,124.5,4,wtórny,apartamentowiec,9.0,14.0,1999.0,,pełna własność,,miejskie,https://www.otodom.pl/oferta/apartament-centrum-warszawy-aleje-jerozolimskie-ID3XrTO.html#91c6d8f63d,,1050000.0
 Włochy,35.5,2,pierwotny,blok,3.0,8.0,2020.0,,pełna własność,,miejskie,https://www.otodom.pl/oferta/2-pokoje-dla-kazdego-swietna-komunikacja-ID42tiG.html#91c6d8f63d,,379850.0
 Ursus,46.5,2,wtórny,blok,2.0,4.0,1969.0,,pełna własność,,miejskie,https://www.otodom.pl/oferta/ursus-2-pokoje-swietna-lokalizacja-ID42Y7g.html#91c6d8f63d,,365000.0
 Żoliborz,202.0,5,wtórny,apartamentowiec,7.0,7.0,2003.0,,pełna własność,,miejskie,https://www.otodom.pl/oferta/apartament-4-pokoje-zoliborz-ID42IBz.html#91c6d8f63d,,2200000.0
 Bielany,54.0,3,wtórny,blok,2.0,4.0,1965.0,,pełna własność,,miejskie,https://www.otodom.pl/oferta/3-pokoje-przy-metrze-wawrzyszew-ID42LGz.html#91c6d8f63d,,468000.0
 Ochota,50.0,3,wtórny,blok,1.0,4.0,1990.0,,pełna własność,,miejskie,https://www.otodom.pl/oferta/idealne-dla-rodziny-3-pokoje-rakowiec-ID431jj.html#91c6d8f63d,,615000.0
 Śródmieście,253.8,7,wtórny,apartamentowiec,11.0,11.0,1998.0,,pełna własność,,miejskie,https://www.otodom.pl/oferta/apartament-centrum-wola-254-m-ID40PWj.html#91c6d8f63d,,2800000.0
 Białołęka,70.0,3,wtórny,blok,1.0,3.0,2003.0,do zamieszkania,pełna własność,plastikowe,inne,https://www.otodom.pl/oferta/sloneczne-3-pokojowe-mieszkanie-z-garderoba-ID42UAh.html#91c6d8f63d,,489000.0
 Mokotów,52.0,2,wtórny,,4.0,4.0,1950.0,,,,,https://www.otodom.pl/oferta/tuz-obok-sgh-metro-pole-mokotowskie-sgh-kamienica-ID42RvT.html#91c6d8f63d,460.0,695000.0
 Praga-Północ,46.04,3,wtórny,blok,11.0,11.0,1968.0,,pełna własność,,miejskie,https://www.otodom.pl/oferta/3-pokoje-4-minuty-do-metra-dworzec-gdanski-ID3UKcI.html#91c6d8f63d,,421000.0
 Wesoła,61.0,2,wtórny,blok,1.0,2.0,2004.0,,pełna własność,,gazowe,https://www.otodom.pl/oferta/piekne-mieszkanie-w-wysokim-standardzie-z-garazem-ID41MPV.html#91c6d8f63d,,523200.0
 Bielany,96.0,4,wtórny,blok,2.0,4.0,1995.0,,spółdzielcze wł. z KW,,miejskie,https://www.otodom.pl/oferta/4-pokojowe-ciche-bielany-piaski-ID42Nwp.html#91c6d8f63d,,790000.0
 Mokotów,50.0,2,wtórny,kamienica,0.0,3.0,1960.0,,,,,https://www.otodom.pl/oferta/7-min-metro-2-pok-balkon-ogrodek-cicho-od-zaraz-ID423G4.html#91c6d8f63d,500.0,579000.0
 Ursus,77.0,3,wtórny,apartamentowiec,1.0,7.0,2008.0,do zamieszkania,pełna własność,,gazowe,https://www.otodom.pl/oferta/mieszkanie-77-m-warszawa-ID43fqX.html#91c6d8f63d,440.0,650000.0
 Wesoła,140.0,3,wtórny,blok,2.0,2.0,2003.0,,pełna własność,,inne,https://www.otodom.pl/oferta/komfortowe-mieszkanie-na-cichym-zielonym-osiedlu-ID42UvA.html#91c6d8f63d,,599000.0
 Bielany,47.5,3,wtórny,blok,4.0,4.0,1970.0,,pełna własność,,miejskie,https://www.otodom.pl/oferta/bielany-nowoczesne-3-pokojowe-ID42YGk.html#91c6d8f63d,,525000.0
 Bemowo,57.0,2,wtórny,apartamentowiec,2.0,4.0,2000.0,,pełna własność,,miejskie,https://www.otodom.pl/oferta/bemowo-2-pokojowe-57-m2-z-garazem-ID433Mn.html#91c6d8f63d,,550000.0
 Bielany,50.7,3,wtórny,blok,5.0,10.0,1976.0,do zamieszkania,spółdzielcze własnościowe,,,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-bielany-ul-balzaka-ID43frz.html#91c6d8f63d,415.0,455000.0
 Bemowo,85.9,4,wtórny,blok,3.0,5.0,2000.0,do zamieszkania,pełna własność,,,https://www.otodom.pl/oferta/4-pokoje-bemowo-metro-bemowo-ratusz-ID43frA.html#91c6d8f63d,600.0,704999.0
 Żoliborz,47.0,2,wtórny,blok,6.0,10.0,1972.0,,,,miejskie,https://www.otodom.pl/oferta/2-pokojowe-zoliborz-5-minut-do-metra-marymont-ID435sE.html#91c6d8f63d,,520000.0
 Wola,55.0,4,wtórny,blok,3.0,4.0,,do remontu,pełna własność,,miejskie,https://www.otodom.pl/oferta/cztery-pokoje-z-balkonem-w-super-lokalizacji-ID41gEg.html#91c6d8f63d,,520000.0
 Białołęka,78.0,3,wtórny,blok,0.0,2.0,2003.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/3-pokoje-z-ogrodkiem-miejscem-parkingowym-i-sauna-ID43frF.html#91c6d8f63d,,600000.0
 Praga-Południe,64.0,3,wtórny,blok,2.0,3.0,1983.0,do remontu,spółdzielcze własnościowe,,miejskie,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-na-goclawiu-ID43frI.html#91c6d8f63d,,538000.0
 Śródmieście,60.82,3,pierwotny,,4.0,,,,,,,https://www.otodom.pl/oferta/krysztal-powisla-apartament-c49-ID42gO6.html#91c6d8f63d,,
 Ochota,50.01,2,pierwotny,,1.0,6.0,,,,,,https://www.otodom.pl/oferta/siewierska-mieszkanie-nr-3-ID42j6G.html#91c6d8f63d,,680000.0
 Wilanów,93.28,4,pierwotny,apartamentowiec,2.0,2.0,,do wykończenia,,,,https://www.otodom.pl/oferta/mieszkanie-w-projekcie-ze-spa-i-silownia-ID43fvj.html#1abb15d7d7,,835100.0
 Praga-Południe,50.31,2,wtórny,blok,5.0,5.0,2019.0,do wykończenia,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/2-pok-z-tarasem-17m2-przeworska-praga-gotowe-ID43fvP.html#1abb15d7d7,,499000.0
 Śródmieście,64.13,3,pierwotny,,3.0,,,,,,,https://www.otodom.pl/oferta/krysztal-powisla-apartament-c37-ID42gNx.html#91c6d8f63d,,
 Wilanów,66.34,4,pierwotny,apartamentowiec,0.0,2.0,,do wykończenia,,,,https://www.otodom.pl/oferta/przystanek-autobusowy-tuz-przy-inwestycji-ID43fxO.html#1abb15d7d7,,649100.0
 Ochota,65.92,3,pierwotny,,1.0,6.0,,,,,,https://www.otodom.pl/oferta/siewierska-mieszkanie-nr-6-ID42j7f.html#91c6d8f63d,,850000.0
 Ursynów,33.0,2,wtórny,blok,1.0,6.0,,,,plastikowe,,https://www.otodom.pl/oferta/dwupokojowe-mieszkanie-do-wejscia-przy-sggw-ID43bvM.html#1abb15d7d7,400.0,377000.0
 Wola,38.0,2,wtórny,blok,10.0,,1973.0,do zamieszkania,spółdzielcze wł. z KW,plastikowe,miejskie,https://www.otodom.pl/oferta/2-samodzielne-pokoje-po-remoncie-bezposrednio-ID43fyX.html#1abb15d7d7,,540000.0
 Wilanów,66.34,4,pierwotny,apartamentowiec,1.0,2.0,,do wykończenia,,,,https://www.otodom.pl/oferta/miszkanie-w-spokojnej-czesci-wilanowa-ID43fy7.html#1abb15d7d7,,585300.0
 Wilanów,62.13,3,pierwotny,apartamentowiec,1.0,2.0,,do wykończenia,,,,https://www.otodom.pl/oferta/mieszkanie-z-balkonem-piekny-wilanow-ID43fyg.html#1abb15d7d7,,536800.0
 Śródmieście,40.0,2,pierwotny,kamienica,6.0,6.0,1971.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/al-jerozolimskie-2-pokoje-centrum-metro-ID42Now.html#1abb15d7d7,500.0,650000.0
 Wawer,75.92,4,pierwotny,apartamentowiec,1.0,5.0,,do wykończenia,,,,https://www.otodom.pl/oferta/ustawne-4-pokoje-w-swietnej-cenie-ID43fya.html#1abb15d7d7,,580788.0
 Wola,79.7,3,wtórny,blok,3.0,8.0,2008.0,,,,miejskie,https://www.otodom.pl/oferta/banderii-bezposrednio-79m2-3pokoje-ID43fzA.html#1abb15d7d7,,868000.0
 Wawer,84.7,4,pierwotny,apartamentowiec,1.0,5.0,,do wykończenia,,,,https://www.otodom.pl/oferta/osiedle-na-malowniczym-marysinie-wawerskim-ID43fz4.html#1abb15d7d7,,639485.0
 Wilanów,93.28,4,pierwotny,apartamentowiec,2.0,2.0,,do wykończenia,,,,https://www.otodom.pl/oferta/mieszkanie-z-duzym-tarasem-spokojny-wilanow-ID43fzO.html#1abb15d7d7,,844100.0
 Wola,43.5,2,wtórny,apartamentowiec,1.0,7.0,2016.0,do zamieszkania,pełna własność,drewniane,miejskie,https://www.otodom.pl/oferta/warszawa-wola-os-verdis-ciche-tereny-zielone-ID43fzF.html#1abb15d7d7,309.0,525000.0
 Wilanów,66.09,4,pierwotny,apartamentowiec,0.0,2.0,,do wykończenia,,,,https://www.otodom.pl/oferta/miszkanie-w-spokojnej-czesci-wilanowa-ID43fAh.html#1abb15d7d7,,653200.0
 Mokotów,50.92,3,wtórny,kamienica,5.0,6.0,1950.0,do zamieszkania,pełna własność,plastikowe,miejskie,https://www.otodom.pl/oferta/mieszkanie-3-pokojowe-przy-metrze-raclawicka-ID413Il.html#1abb15d7d7,,690000.0
